zipcode,ncells,acres,date
93311,2762,614.2540142233731,2023-03-13
93313,1386,308.2389803452553,2023-03-13
93461,0,0,2023-03-13
93203,5217,1160.2328719056256,2023-03-13
93206,3314,737.0158592093622,2023-03-13
93215,2803,623.3721947386368,2023-03-13
93220,14,3.113525053992478,2023-03-13
93224,0,0,2023-03-13
93241,10,2.2239464671374845,2023-03-13
93243,51,11.34212698240117,2023-03-13
93249,3563,792.3921262410856,2023-03-13
93250,409,90.9594105059231,2023-03-13
93251,63,14.01086274296615,2023-03-13
93263,2448,544.4220951552561,2023-03-13
93276,0,0,2023-03-13
93280,6589,1465.3583271968885,2023-03-13
93287,15,3.3359197007062265,2023-03-13
93301,172,38.25187923476473,2023-03-13
93304,38,8.45099657512244,2023-03-13
93305,61,13.566073449538655,2023-03-13
93306,710,157.90019916676138,2023-03-13
93308,1246,277.10372980533054,2023-03-13
93309,407,90.51462121249561,2023-03-13
93312,137,30.468066599783533,2023-03-13
93314,9369,2083.615445061109,2023-03-13
93518,1,0.22239464671374842,2023-03-13
93531,0,0,2023-03-13
93561,0,0,2023-03-13
93252,147,32.69201306692102,2023-04-06
93268,35,7.783812634981195,2023-04-06
93307,2851,634.0471377808967,2023-04-06
93311,5972,1328.1408301745057,2023-04-06
93313,2311,513.9540285554726,2023-04-06
93461,2,0.44478929342749685,2023-04-06
93203,5454,1212.940403176784,2023-04-06
93206,10329,2297.1143059063074,2023-04-06
93215,2705,601.5775193606895,2023-04-06
93220,6,1.3343678802824905,2023-04-06
93224,13,2.8911304072787294,2023-04-06
93241,57,12.676494862683661,2023-04-06
93243,61,13.566073449538655,2023-04-06
93249,944,209.9405464977785,2023-04-06
93250,588,130.76805226768408,2023-04-06
93251,84,18.681150323954867,2023-04-06
93263,4513,1003.6670406191466,2023-04-06
93276,21,4.670287580988717,2023-04-06
93280,24890,5535.402756705198,2023-04-06
93287,2,0.44478929342749685,2023-04-06
93301,335,74.50220664910573,2023-04-06
93304,42,9.340575161977434,2023-04-06
93305,31,6.894234048126202,2023-04-06
93306,750,166.79598503531133,2023-04-06
93308,2784,619.1466964510756,2023-04-06
93309,720,160.12414563389888,2023-04-06
93312,170,37.80708994133723,2023-04-06
93314,20820,4630.256544580242,2023-04-06
93518,1,0.22239464671374842,2023-04-06
93531,0,0,2023-04-06
93561,0,0,2023-04-06
93252,126,28.0217254859323,2023-04-14
93268,17,3.7807089941337235,2023-04-14
93307,2602,578.6708707491734,2023-04-14
93311,6419,1427.551237255551,2023-04-14
93313,2115,470.3646777995779,2023-04-14
93461,1,0.22239464671374842,2023-04-14
93203,5221,1161.1224504924805,2023-04-14
93206,9529,2119.1985885353088,2023-04-14
93215,2473,549.9819613230999,2023-04-14
93220,5,1.1119732335687422,2023-04-14
93224,7,1.556762526996239,2023-04-14
93241,125,27.799330839218555,2023-04-14
93243,62,13.788468096252403,2023-04-14
93249,1113,247.525241792402,2023-04-14
93250,521,115.86761093786293,2023-04-14
93251,75,16.679598503531132,2023-04-14
93263,4295,955.1850076355495,2023-04-14
93276,22,4.8926822277024655,2023-04-14
93280,17623,3919.2608590363884,2023-04-14
93287,1,0.22239464671374842,2023-04-14
93301,303,67.38557795426577,2023-04-14
93304,16,3.5583143474199748,2023-04-14
93305,16,3.5583143474199748,2023-04-14
93306,663,147.44765077121522,2023-04-14
93308,2352,523.0722090707363,2023-04-14
93309,677,150.5611758252077,2023-04-14
93312,126,28.0217254859323,2023-04-14
93314,22241,4946.279337560479,2023-04-14
93518,1,0.22239464671374842,2023-04-14
93531,0,0,2023-04-14
93561,0,0,2023-04-14
93252,150,33.359197007062264,2023-04-22
93268,18,4.003103640847471,2023-04-22
93307,2535,563.7704294193522,2023-04-22
93311,6405,1424.4377122015587,2023-04-22
93313,2156,479.4828583148416,2023-04-22
93461,0,0,2023-04-22
93203,5128,1140.439748348102,2023-04-22
93206,8101,1801.619033028076,2023-04-22
93215,490,108.97337688973673,2023-04-22
93220,2,0.44478929342749685,2023-04-22
93224,2,0.44478929342749685,2023-04-22
93241,168,37.362300647909734,2023-04-22
93243,49,10.897337688973673,2023-04-22
93249,175,38.91906317490597,2023-04-22
93250,82,18.23636103052737,2023-04-22
93251,32,7.1166286948399495,2023-04-22
93263,3209,713.6644213044187,2023-04-22
93276,10,2.2239464671374845,2023-04-22
93280,5277,1173.5765507084504,2023-04-22
93287,0,0,2023-04-22
93301,80,17.791571737099876,2023-04-22
93304,4,0.8895785868549937,2023-04-22
93305,0,0,2023-04-22
93306,467,103.85830001532052,2023-04-22
93308,820,182.3636103052737,2023-04-22
93309,606,134.77115590853154,2023-04-22
93312,31,6.894234048126202,2023-04-22
93314,19776,4398.076533411089,2023-04-22
93518,1,0.22239464671374842,2023-04-22
93531,0,0,2023-04-22
93561,0,0,2023-04-22
93252,133,29.578488012928542,2023-04-30
93268,14,3.113525053992478,2023-04-30
93307,2539,564.6600080062072,2023-04-30
93311,6629,1474.2541130654383,2023-04-30
93313,2125,472.58862426671544,2023-04-30
